,Unnamed: 0,p_id,name,price,colour,brand,img,ratingCount,avg_rating,description,p_attributes,Metadata,Text_Length
5975,35,12221918.0,SASSAFRAS Women Black Solid Cropped Basic Tube Jumpsuit,1799.0,Black,SASSAFRAS,http://assets.myntassets.com/assets/images/12221918/2020/8/21/875980d0-5164-4789-a46f-0fe3f68108261598010237498-SASSAFRAS-Women-Black-Solid-Cropped-Basic-Tube-Jumpsuit-9815-1.jpg,657.0,4.079147640791477,"Black solid cropped basic jumpsuit with waist tie-up and side taping detail, strapless, cuffed hemsThe model (height 5'8'') is wearing a size SMaterial: Polyester<br>  Machine Wash","{'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Closure': 'NA', 'Fabric': 'Polyester', 'Neck': 'Strapless', 'Number of Pockets': 'NA', 'Pattern': 'Solid', 'Sleeve Length': 'Sleeveless', 'Surface Styling': 'Waist Tie-Ups', 'Type': 'Basic Jumpsuit', 'Wash Care': 'Machine Wash'}","{'name': 'SASSAFRAS Women Black Solid Cropped Basic Tube Jumpsuit', 'color': 'Black', 'brand': 'SASSAFRAS'}",27
5445,495,17365646.0,I Saw It First Women Black & Yellow Floral Print A-line Skirt,1299.0,Black,I Saw It First,http://assets.myntassets.com/assets/images/17365646/2022/4/11/0e04b8a5-aa86-4431-a448-410a56f715691649657055417DressesISawItFirstWomenDressesISawItFirstWomenDressesISawItF1.jpg,,,"Black and yellow floral printed A-line above the knee length skirt, has elasticated waistband and slip-on closure.The model (height 5'8) is wearing a size 2895% Polyester, 5% Elastane<br>Machine wash","{'Add-Ons': 'NA', 'Body Shape ID': '333,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Character': 'NA', 'Closure': 'Slip-On', 'Fabric': 'Polyester', 'Fabric Type': 'NA', 'Hemline': 'Flared', 'Knit or Woven': 'Knitted', 'Length': 'Above Knee', 'Lining': 'NA', 'Main Trend': 'Floral Print', 'Number of Pockets': 'NA', 'Occasion': 'Casual', 'Pattern': 'Printed', 'Print or Pattern Type': 'Floral', 'Slit Detail': 'No Slit', 'Sub Trend': 'New Basics', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'A-Line', 'Wash Care': 'Machine Wash', 'Wedding': 'NA'}","{'name': 'I Saw It First Women Black & Yellow Floral Print A-line Skirt', 'color': 'Black', 'brand': 'I Saw It First'}",29
2666,686,17570446.0,SHOWOFF Women Blue Boyfriend Fit High-Rise Low Distress Light Fade Stretchable Jeans,3720.0,Blue,SHOWOFF,http://assets.myntassets.com/assets/images/17570446/2022/3/19/e88937cb-6d56-47f6-ba12-22ef2a7ff2b41647678607744SHOWOFFWomenBlueBoyfriendFitHigh-RiseLowDistressLightFadeStr1.jpg,,,"<ul> <li> Dark shade,  light fade blue jeans </li> <li> Boyfriend fit,  high-rise </li> <li> Low distress </li> <li> Stretchable </li> <li> 4 pocket </li> <li> Length: cropped </li> </ul><p>Dry Clean</p><br> Fit: Boyfriend Fit <br> Stretchable <br> The model (height 5'8) is wearing a size 28","{'Add-Ons': 'NA', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Brand Fit Name': 'NA', 'Character': 'NA', 'Closure': 'Zip Fly', 'Distress': 'Low Distress', 'Effects': 'Whiskers and Chevrons', 'Fabric': 'Elastane', 'Fabric 2': 'NA', 'Fabric 3': 'NA', 'Fade': 'Light Fade', 'Features': 'NA', 'Fit': 'Boyfriend Fit', 'Length': 'Cropped', 'Main Trend': 'NA', 'Number of Pockets': '4', 'Occasion': 'Casual', 'Reversible': 'No', 'Shade': 'Dark', 'Stretch': 'Stretchable', 'Sustainable': 'Regular', 'Type of Distress': 'Ripped', 'Waist Rise': 'High-Rise', 'Waistband': 'Elasticated', 'Wash Care': 'Dry Clean'}","{'name': 'SHOWOFF Women Blue Boyfriend Fit High-Rise Low Distress Light Fade Stretchable Jeans', 'color': 'Blue', 'brand': 'SHOWOFF'}",48
5145,195,17829400.0,Forever New Pink Katerina Belted Tiered Skirt,5200.0,Pink,Forever New,http://assets.myntassets.com/assets/images/17829400/2022/4/9/6c87c526-8dd5-4c26-ab03-d20184b4fae21649476444300Skirts1.jpg,,,"<p></p><ul><li>A flowing romantic skirt to wear on date night</li><li>Length: 100cm (Size 8)</li><li>High-waist fit</li><li>Relaxed, flowing silhouette</li><li>Lightweight printed fabrication</li><li>Removable belt with ring shaped buckle</li><li>Belt loops</li><li>Tiered maxi skirt that sits at the ankles</li><li>Concealed zip fastening</li><li>Matching item available: Aaliyah Trim Spliced Blouse</li><li>Main: 87% Viscose, 13% Linen. Lining: 100% Viscose</li><li>Cold hand wash separately or cold delicate machine wash in garment bag.</li><li>Our model is wearing size AU 8/XS</li></ul><p></p>The model (height 5'8"") is wearing a size S<br>Main: 87% Viscose, 13% Linen. Lining: 100% Viscose<br>Machine Wash","{'Add-Ons': 'NA', 'Body Shape ID': '443,324,333,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Character': 'NA', 'Closure': 'Zip', 'Fabric': 'Viscose Rayon', 'Fabric Type': 'NA', 'Hemline': 'Curved', 'Knit or Woven': 'Woven', 'Length': 'Midi', 'Lining': 'Has a lining', 'Main Trend': 'New Basics', 'Number of Pockets': 'NA', 'Occasion': 'Casual', 'Pattern': 'Printed', 'Print or Pattern Type': 'Floral', 'Slit Detail': 'No Slit', 'Sub Trend': 'New Basics', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Flared', 'Wash Care': 'Hand Wash', 'Wedding': 'NA'}","{'name': 'Forever New Pink Katerina Belted Tiered Skirt', 'color': 'Pink', 'brand': 'Forever New'}",78
7754,324,16012536.0,Fabindia Blue Embroidered Tunic,2690.0,Blue,Fabindia,http://assets.myntassets.com/assets/images/16012536/2021/11/4/5a9bd238-08af-41b8-a9b0-a693147fba511636016757759FabindiaWomenBlue1.jpg,,,"Blue embroidered tunic ,has a round neck,  three-quarter sleeves,  embroidered detail, button closureThe model (height 5'8) is wearing a size SCotton<br>Dry Clean","{'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Closure': 'Button', 'Fabric': 'Cotton', 'Main Trend': 'New Basics', 'Neck': 'Round Neck', 'Number of Pockets': 'NA', 'Occasion': 'Ethnic', 'Pattern': 'Embroidered', 'Sleeve Length': 'Three-Quarter Sleeves', 'Surface Styling': 'Embroidered', 'Sustainable': 'Regular', 'Wash Care': 'Dry Clean'}","{'name': 'Fabindia Blue Embroidered Tunic', 'color': 'Blue', 'brand': 'Fabindia'}",24
3192,222,14579962.0,ZOLA Women Black Mid-Rise Denim Shorts,2475.0,Black,ZOLA,http://assets.myntassets.com/assets/images/productimage/2021/6/20/c23a9fc5-4a4c-4dac-a8fe-64b6d980727d1624150839586-1.jpg,26.0,3.807692307692308,"Black solid mid-rise denim shorts, has 4 pockets, button closure with belted waistloop<br><br><b>Features</b><br>The pieces of Denims are made with lofty research of considering customers taste and style, which makes it unique<br>Zola Denims are a symbol of style and comfort at once, which are favourably affordable too<br>Fitting: This Regular Fit Denim range fits according to the Size, and it is breathable and comfortable to wear all day long<br><br><b>Disclaimer:</b> Product shade or colour might slightly Vary considering Photographic Lighting Sources Or Your Screen Settings.Regular Fit <br> The model (height 5'8) is wearing a size 28Denim ,<br>Washing Instruction: Hand and Machine Wash","{'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Character': 'NA', 'Closure': 'Button', 'Fabric': 'Denim', 'Fabric 2': 'NA', 'Fabric Type': 'NA', 'Fit': 'Regular Fit', 'Knit or Woven': 'Knitted', 'Length': 'Above Knee', 'Main Trend': 'New Basics', 'Multipack Set': 'NA', 'Number of Pockets': '4', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sport': 'NA', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Technology': 'NA', 'Type': 'Denim Shorts', 'Waist Rise': 'Mid-Rise', 'Wash Care': 'Machine Wash'}","{'name': 'ZOLA Women Black Mid-Rise Denim Shorts', 'color': 'Black', 'brand': 'ZOLA'}",99
5694,744,18534256.0,AKISO Women Red Cropped Ethnic Palazzos,1190.0,Red,AKISO,http://assets.myntassets.com/assets/images/18534256/2022/6/1/9ef134c5-25c9-44c2-94b7-43c76800b66d1654068397690RedCigarettePantWithGottaEmbroidery1.jpg,,,"<ul> <li> Red woven palazzos </li> <li> Solid </li> <li> Opaque </li> <li> Straight fit </li> <li> Partially elasticated waistband </li> <li> Length: cropped </li> <li> Woven cotton fabric </li> </ul>Cotton<br>Machine Wash in cold water (30 degree C or low) to avoid shrinkage Line-dry in shade to avoid yellowing For whites, wash with non-chlorine bleach on a hot water setting Iron when slightly dampStraight fit <br> The model (height 5'8) is wearing a size S","{'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Care for me': 'Machine Wash in cold water (30 degree C or low) to avoid shrinkage\r\nLine-dry in shade to avoid yellowing\r\nFor whites, wash with non-chlorine bleach on a hot water setting\r\nIron when slightly damp', 'Closure': 'Slip-On', 'Fabric': 'Cotton', 'Fabric 2': 'NA', 'Fit': 'Straight', 'Length': 'Cropped', 'Main Trend': 'NA', 'Multipack Set': 'Single', 'Number of Pockets': '2', 'Occasion': 'Ethnic', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Waistband': 'Partially Elasticated', 'Wash Care': 'Machine Wash', 'Weave Type': 'Woven'}","{'name': 'AKISO Women Red Cropped Ethnic Palazzos', 'color': 'Red', 'brand': 'AKISO'}",75
3103,133,19147756.0,H&M Women Green Short Linen-Blend Skirt,1499.0,Green,H&M,http://assets.myntassets.com/assets/images/19147756/2022/7/18/dfdab1a2-f6be-41d0-aa3d-a27ced2854e11658136919875HMWomenGreenSolidA-LineMiniSkirts1.jpg,,,"<p>Green solid a-line mini skirt in a linen and viscose weave with a regular waist, concealed zip in one side and a slit at the front. Lined.</p>42% Linen, 58% Viscose<br>Machine wash","{'Add-Ons': 'NA', 'Body Shape ID': '443,333,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Character': 'NA', 'Closure': 'Zip', 'Fabric': 'Linen', 'Fabric Type': 'NA', 'Hemline': 'Straight', 'Knit or Woven': 'Knitted and Woven', 'Length': 'Mini', 'Lining': 'NA', 'Main Trend': 'New Basics', 'Number of Pockets': 'NA', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Slit Detail': 'Front Slit', 'Sub Trend': 'Nautical', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'A-Line', 'Wash Care': 'Hand Wash', 'Wedding': 'NA'}","{'name': 'H&M Women Green Short Linen-Blend Skirt', 'color': 'Green', 'brand': 'H&M'}",31
11754,914,16196158.0,Anekaant Women Black & Brown Woven-Design Woolen Shawl,1699.0,Black,Anekaant,http://assets.myntassets.com/assets/images/16196158/2021/11/22/ed71fab0-1150-42f7-82c8-4af1ff87b2ab1637574397182AnekaantWomenBlackBrownWoven-DesignWoolenShawl1.jpg,,,"<p>Black and brown woven-design shawl, has fringed border</p><p>Dimensions: 2 m x 0.7 m(Length x Width)</p><p>Wool<br>Hand Wash</p>","{'Border': 'Fringed', 'Fabric': 'Wool', 'Fabric 2': 'NA', 'Fabric Purity': 'Pure', 'Fusion Wear': 'Yes', 'Occasion': 'Party', 'Ornamentation': 'NA', 'Pattern': 'Woven Design', 'Pattern Size': 'Medium', 'Print or Pattern Type': 'Ethnic Motifs', 'Sustainable': 'Regular'}","{'name': 'Anekaant Women Black & Brown Woven-Design Woolen Shawl', 'color': 'Black', 'brand': 'Anekaant'}",16
9612,402,18780564.0,Chhabra 555 Women Blue Dress Material,2900.0,Blue,Chhabra 555,http://assets.myntassets.com/assets/images/18780564/2022/6/18/aad58935-9ad7-4c91-ba29-bb972971f9981655569111138Chhabra555WomenBlueDressMaterial1.jpg,,,<p>Chhabra 555 Blue &amp; Pink Embroidered Cotton Unstiched Suit</p><p>Semi-stitched suit duppatta - Kurta length 2.25 meters and width is 0.70 meters. Salwar length 2.40 meters and width 1.10 meters. Dupatta length 2.10 meters and width .90 meters.</p><p>Dry Clean Only</p>,"{'Bottom Fabric': 'Cotton Blend', 'Bottom Pattern': 'Solid', 'Dupatta Border': 'Taping', 'Dupatta Fabric': 'Poly Chiffon', 'Dupatta Pattern': 'Dyed', 'Kurta Fabric': 'Cotton Blend', 'Kurta Pattern': 'Embroidered', 'Occasion': 'Daily', 'Ornamentation': 'Zari', 'Print or Pattern Type': 'Floral', 'Set Content': 'Kurta Fabric Bottom Fabric and Dupatta', 'Stitch': 'Unstitched', 'Sustainable': 'Regular', 'Technique': 'Tie and Dye', 'Wash Care': 'Dry Clean', 'Wedding': 'Guests & Gifting'}","{'name': 'Chhabra 555 Women Blue Dress Material', 'color': 'Blue', 'brand': 'Chhabra 555'}",39
7143,363,12101936.0,Geroo Jaipur Hand Crafted flared Red Pure Cotton Skirt with Blue Crop Top,5999.0,Red,Geroo Jaipur,http://assets.myntassets.com/assets/images/12101936/2020/8/12/c11f587f-0660-4561-a966-a509484f34291597214085615-Geroo-Jaipur-Women-Clothing-Set-3221597214083663-1.jpg,,,"This co-ords consists of top and skirt<br>Navy blue solid top, has a round neck, sleeveless<br>Red striped tiered skirt, has a drawstring closureTop fabric: Viscose Rayon<br>Bottom fabric: Pure Cotton<br>Dry-cleanThe model (height 5'8"") is wearing a size S","{'Bottom Fabric': 'Pure Cotton', 'Top Fabric': 'Viscose Rayon'}","{'name': 'Geroo Jaipur Hand Crafted flared Red Pure Cotton Skirt with Blue Crop Top', 'color': 'Red', 'brand': 'Geroo Jaipur'}",36
1062,72,17549686.0,Sangria Mustard Yellow Floral Print Kaftan Top,1499.0,Mustard,Sangria,http://assets.myntassets.com/assets/images/17549686/2022/6/4/1ca2b3fe-2c0e-4fe1-ad92-337077fbb4121654338065863-Sangria-Mustard-Yellow-Floral-Print-Kaftan-Top-5501654338065-7.jpg,13.0,4.6923076923076925,"<ul> <li> Mustard yellow regular kaftan top </li> <li> Floral print </li> <li> Round neck,  short,  regular sleeves </li> <li> Waist tie-ups detail </li> <li> Woven </li> <li> Button closure </li> </ul>Viscose rayon <br> Hand wash","{'Body or Garment Size': 'Garment Measurements in', 'Care for me': 'Dry cleaning is recommended.\r\nUse cold water with mild detergents when handwashing or opt for delicate setting when machine washing.\r\nAlways wash inside-out to preserve colour.\r\nNever wring or tumble dry. Dry flat on a towel or hang on coat hangers.\r\nIron on the reverse side with medium heat.', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'Button', 'Fabric': 'Viscose Rayon', 'Fabric Type': 'NA', 'Length': 'Regular', 'Lining': 'NA', 'Main Trend': 'Floral Print', 'Multipack Set': 'NA', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Printed', 'Print or Pattern Type': 'Floral', 'Sleeve Length': 'Short Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Surface Styling': 'Waist Tie-Ups', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Kaftan', 'Wash Care': 'Hand Wash', 'Weave Type': 'Woven', 'Wedding': 'NA', 'taxMaterial': 'NA'}","{'name': 'Sangria Mustard Yellow Floral Print Kaftan Top', 'color': 'Mustard', 'brand': 'Sangria'}",38
5614,664,13952500.0,GRACIT Women Beige & Maroon Solid Flared Palazzos,1898.0,Beige,GRACIT,http://assets.myntassets.com/assets/images/productimage/2021/3/24/92c0b82a-f83d-4c48-a96e-e59cb3844c851616585818163-1.jpg,28.0,3.9642857142857135,"A pair of Beige and Maroon solid  flared fit Palazzos, opaque, and drawstring closureMaterial: Viscose RayonThe model (height 5'8"") is wearing a size 28","{'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Closure': 'Drawstring', 'Fabric': 'Viscose Rayon', 'Fabric 2': 'NA', 'Fit': 'Flared', 'Length': 'Regular', 'Number of Pockets': 'NA', 'Occasion': 'Ethnic', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Waistband': 'Elasticated', 'Wash Care': 'Machine Wash', 'Weave Type': 'Knitted'}","{'name': 'GRACIT Women Beige & Maroon Solid Flared Palazzos', 'color': 'Beige', 'brand': 'GRACIT'}",25
1620,630,1731802.0,Marie Claire Women Blue & Red Floral Print Cape Top,1499.0,Blue,Marie Claire,http://assets.myntassets.com/assets/images/1731802/2017/2/16/11487253255611-Marie-Claire-Women-Blue--Red-Floral-Print-Cape-Top-3721487253255908-1.jpg,858.0,4.0442890442890445,"Blue and red woven floral print cape top, has a round neck, three-quarter sleeves, and an attached liningThe model (height 5'8'') is wearing a size SRayon<br>Machine-wash cold","{'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Closure': 'NA', 'Fabric': 'Viscose Rayon', 'Fabric Type': 'NA', 'Length': 'Regular', 'Lining': 'NA', 'Main Trend': 'Floral Print', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Printed', 'Print or Pattern Type': 'Floral', 'Sleeve Length': 'Three-Quarter Sleeves', 'Sleeve Styling': 'Cape Sleeves', 'Surface Styling': 'Gathered or Pleated', 'Transparency': 'Opaque', 'Type': 'Cape', 'Wash Care': 'Machine Wash', 'Weave Type': 'Woven', 'taxMaterial': 'NA'}","{'name': 'Marie Claire Women Blue & Red Floral Print Cape Top', 'color': 'Blue', 'brand': 'Marie Claire'}",27
11651,811,18213516.0,Saadgi Green & Gold-Toned Ethnic Motifs Embroidered Dupatta with Chikankari,2940.0,Green,Saadgi,http://assets.myntassets.com/assets/images/18213516/2022/6/3/9b1774b8-7335-42c3-b3e8-2f2e69c17d401654256192203-Saadgi-Green--Gold-Toned-Ethnic-Motifs-Embroidered-Dupatta-w-1.jpg,,,"Green and gold-toned ethnic motifs embroidered dupatta chikankari,  fringed borderDupatta length: 2.4 metres<br>Dupatta width: 0.9 metres100% Net<br>Hand Wash","{'Border': 'Fringed', 'Fabric': 'Net', 'Occasion': 'Party', 'Ornamentation': 'Chikankari', 'Pattern': 'Embroidered', 'Print or Pattern Type': 'Ethnic Motifs', 'Sustainable': 'Regular', 'Technique': 'NA', 'Wash Care': 'Hand Wash', 'Wedding': 'Bride & Wedding Squad'}","{'name': 'Saadgi Green & Gold-Toned Ethnic Motifs Embroidered Dupatta with Chikankari', 'color': 'Green', 'brand': 'Saadgi'}",19
7661,231,12795840.0,Bhama Couture Women Black & Pink Yoke Design Pure Cotton High-Low Kurti,1999.0,Black,Bhama Couture,http://assets.myntassets.com/assets/images/12795840/2020/11/4/29503570-fbf0-4473-86be-665fa97eb8021604486889952-Bhama-Couture-Women-Black--Pink-Yoke-Design-High-Low-Kurti-9-1.jpg,5.0,4.6,"Black and pink yoke design A-Line kurti with embroidery, gathers, and mirror works, has a mandarin collar, three quarter sleeves, hook and eye closures, mock buttons, high-low curved hemThe&nbsp;model&nbsp;(height 5'8'') is wearing a size SCotton<br>Machine Wash","{'Body or Garment Size': 'Garment Measurements in', 'Design Styling': 'Regular', 'Fabric': 'Pure Cotton', 'Hemline': 'High-Low', 'Neck': 'Mandarin Collar', 'Number of Pockets': 'NA', 'Occasion': 'Daily', 'Ornamentation': 'Mirror Work', 'Pattern': 'Yoke Design', 'Print or Pattern Type': 'Ethnic Motifs', 'Shape': 'A-Line', 'Sleeve Length': 'Three-Quarter Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Slit Detail': 'NA', 'Sustainable': 'Regular', 'Technique': 'NA', 'Wash Care': 'Machine Wash', 'Weave Pattern': 'Regular', 'Weave Type': 'Machine Weave'}","{'name': 'Bhama Couture Women Black & Pink Yoke Design Pure Cotton High-Low Kurti', 'color': 'Black', 'brand': 'Bhama Couture'}",36
4034,74,16184148.0,DressBerry Women Pink Solid Parallel Trousers,1799.0,Pink,DressBerry,http://assets.myntassets.com/assets/images/16184148/2022/3/4/e722be52-91b9-4fb9-88ac-1808a212b78d1646388150016-DressBerry-Women-Trousers-4511646388149356-1.jpg,50.0,3.74,"<ul> <li> Pink woven parallel </li> <li> Regular fit </li> <li> Mid-rise </li> <li> Length:  regular </li> <li> Pattern: solid </li> <li> Flat-front, with no pleats design </li> <li> Feature:  plain </li> <li> 2 pockets </li> <li> Comes with a belt </li> </ul>Fit: Regular Fit<br>Size worn by the model: S<br>Waist: 25''<br>Hips: 36''<br>Height: 5'6''<br>Polyester <br> Machine wash","{'Add-Ons': 'Comes with a belt', 'Body Shape ID': '443,333,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Brand Fit Name': 'NA', 'Care for me': 'Follow the garment wash care label<br>\r\nCan be tumble dried in a cool setting if machine washed<br>\r\nPrevent static build-up by drying while damp<br>\r\nUse low heat to iron', 'Character': 'NA', 'Closure': 'Slip-On', 'Fabric': 'Polyester', 'Fabric 2': 'NA', 'Features': 'Plain', 'Fit': 'Regular Fit', 'Fly Type': 'No Fly', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'NA', 'Number of Pockets': '2', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sustainable': 'Regular', 'Type': 'Parallel Trousers', 'Type of Pleat': 'Flat-Front', 'Waist Rise': 'Mid-Rise', 'Wash Care': 'Machine Wash', 'Weave Type': 'Woven'}","{'name': 'DressBerry Women Pink Solid Parallel Trousers', 'color': 'Pink', 'brand': 'DressBerry'}",58
14029,689,13728060.0,Kalt Women Charcoal,1800.0,Charcoal,Kalt,http://assets.myntassets.com/assets/images/productimage/2021/2/22/5663d0f5-309c-4ef9-968d-839d0a4db7281613975444554-1.jpg,5.0,4.0,"Grey solid cardigan sweater, has a V-neck, long sleeves, button closure, and ribbed hem<p>Acrylic</p>","{'Body Shape ID': '443,333,324,424', 'Body or Garment Size': 'Garment Measurements in', 'Center Front Open': 'Yes', 'Closure': 'Button', 'Fabric': 'Acrylic', 'Hemline': 'Ribbed', 'Knit or Woven': 'Knitted and Woven', 'Length': 'Regular', 'Neck': 'V-Neck', 'Number of Pockets': 'NA', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Long Sleeves', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Type': 'Cardigan', 'Wash Care': 'Machine Wash'}","{'name': 'Kalt Women Charcoal', 'color': 'Charcoal', 'brand': 'Kalt'}",14
4827,867,17158526.0,elleven Women Beige Original Trousers,899.0,Beige,elleven,http://assets.myntassets.com/assets/images/17158526/2022/2/15/a4b57a72-0e01-4e23-aa5e-5b504a6f68941644910852400ellevenWomenBeigeOriginalTrousers1.jpg,,,"<ul> <li> Beige woven trousers </li> <li> Regular fit </li> <li> Brand Fit: original </li> <li> Mid-rise </li> <li> Length:  cropped </li> <li> Pattern: solid </li> <li> Flat-front, with no pleats design </li> <li> Feature:  plain </li> </ul><p>Fabric Name :- Viscose Poly Slub, Fabric Composition :- 83% Viscose 17% Poly, Wash Care :-Hand Wash</p>Brand Fit: Original <br> Fit: Regular Fit <br> The model (height 5'8) is wearing a size 28","{'Add-Ons': 'NA', 'Body Shape ID': '443,333,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Brand Fit Name': 'Original', 'Care for me': 'Dry cleaning is recommended.\r\nUse cold water with mild detergents when handwashing or opt for delicate setting when machine washing.\r\nAlways wash inside-out to preserve colour.\r\nNever wring or tumble dry. Dry flat on a towel or hang on coat hangers.\r\nIron on the reverse side with medium heat.', 'Character': 'NA', 'Closure': 'Slip-On', 'Fabric': 'Viscose Rayon', 'Fabric 2': 'NA', 'Features': 'Plain', 'Fit': 'Regular Fit', 'Fly Type': 'Zip', 'Length': 'Cropped', 'Main Trend': 'New Basics', 'Multipack Set': 'NA', 'Number of Pockets': 'NA', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sustainable': 'Regular', 'Type': 'Regular Trousers', 'Type of Pleat': 'Flat-Front', 'Waist Rise': 'Mid-Rise', 'Wash Care': 'Hand Wash', 'Weave Type': 'Woven'}","{'name': 'elleven Women Beige Original Trousers', 'color': 'Beige', 'brand': 'elleven'}",72
9477,267,17136866.0,Readiprint Fashions Women Grey & Silver Embroidered Unstitched Kurta Set Material,5500.0,Grey,Readiprint Fashions,http://assets.myntassets.com/assets/images/17136866/2022/2/23/5cb48c9b-fb60-45ab-9513-fbc687cd93281645608322269FormalShirtSareesSERONAFABRICSWomenSareesSERONAFABRICSWomenS1.jpg,,,"Grey and silver-toned embroidered unstitched dress material <br> Grey and silver-toned embroidered kurta fabric <br> Grey and silver-toned printed bottom fabric <br> Grey and silver-toned embroidered dupatta, has Disclaimer: Images are for referral purposes only. The actual product is unstitchedKurta fabric:Net<br>Bottom fabric:Shantoon<br>Dupatta: Net<br>Wash Care: Dry CleanKurta Max. Bust size : 46""<br>Kurta Max. Length : 48""<br>Bottom fabric length : 2.00 metres<br>Dupatta length : 2.10 metres (approx.)","{'Bottom Fabric': 'Shantoon', 'Bottom Pattern': 'Printed', 'Dupatta Border': 'NA', 'Dupatta Fabric': 'Net', 'Dupatta Pattern': 'Embroidered', 'Kurta Fabric': 'Net', 'Kurta Pattern': 'Embroidered', 'Occasion': 'Festive', 'Ornamentation': 'Zari', 'Print or Pattern Type': 'Floral', 'Set Content': 'Kurta Fabric Bottom Fabric and Dupatta', 'Stitch': 'Unstitched', 'Sustainable': 'Regular', 'Technique': 'NA', 'Wash Care': 'Dry Clean', 'Wedding': 'Bride & Wedding Squad'}","{'name': 'Readiprint Fashions Women Grey & Silver Embroidered Unstitched Kurta Set Material', 'color': 'Grey', 'brand': 'Readiprint Fashions'}",65
13850,510,15562206.0,Tokyo Talkies Women Coral Pink Acrylic Pullover Sweater,1699.0,Coral,Tokyo Talkies,http://assets.myntassets.com/assets/images/15562206/2021/9/21/5b280d3d-fed6-4b72-8998-e573beef5eaf1632240215136Sweaters1.jpg,11.0,4.636363636363637,"Coral pink solid pullover ,has a round neck, long sleeves, ribbed hemAcrylic<br>Machine washThe model (height 5'8) is wearing a size S","{'Body Shape ID': '443,333,324,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'NA', 'Fabric': 'Acrylic', 'Hemline': 'Ribbed', 'Knit or Woven': 'Knitted', 'Length': 'Regular', 'Multipack Set': 'NA', 'Neck': 'Round Neck', 'Number of Pockets': 'NA', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Long Sleeves', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Type': 'Pullover', 'Wash Care': 'Machine Wash'}","{'name': 'Tokyo Talkies Women Coral Pink Acrylic Pullover Sweater', 'color': 'Coral', 'brand': 'Tokyo Talkies'}",21
